year,city,parameter,station_name,count,mean,std,min,25%,50%,75%,max
2023,Roma,no2 µg/m³,IT2012A,6082.0,16.05253206182177,12.665367034519772,1.0,7.0,12.0,21.0,95.0
2023,Roma,no2 µg/m³,L.GO MAGNA GRECIA,7103.0,33.206039701534564,17.247787114955585,0.0,21.0,31.0,43.0,132.0
2023,Roma,no2 µg/m³,L.GO PERESTRELLO,6809.0,24.56447349096784,15.703058000672453,0.0,12.0,21.0,34.0,119.0
2023,Roma,no2 µg/m³,Malagrotta,6906.0,16.282797567332754,12.785937108437233,0.0,7.0,12.0,22.0,95.0
2023,Roma,no2 µg/m³,TIBURTINA,7104.0,33.88133445945946,16.222690759354577,1.0,23.0,31.0,42.0,255.0
2023,Roma,no2 µg/m³,VILLA ADA,6732.0,18.75289661319073,13.506900757593435,0.0,8.0,16.0,25.0,125.0
2023,Roma,o3 µg/m³,ARENULA,7227.0,35.729002352290024,23.22190304909474,0.0,16.0,36.0,53.0,123.0
2023,Roma,o3 µg/m³,BUFALOTTA,7018.0,44.99294670846395,32.623106099348384,0.0,18.0,42.0,69.0,165.0
2023,Roma,o3 µg/m³,CINECITTA,5649.0,51.267392458842274,36.794129412487756,0.0,20.0,48.0,76.0,222.0
2023,Roma,o3 µg/m³,CIPRO,13748.0,45.5818664533023,27.14355497188484,0.0,22.0,45.0,66.0,137.0
2023,Roma,o3 µg/m³,IT1176A,6408.0,48.052434456928836,34.18347739390903,2.0,18.0,44.0,74.0,180.0
2023,Roma,o3 µg/m³,IT1835A,5621.0,50.102472869596156,30.846950210680436,2.0,25.0,47.0,73.0,165.0
2023,Roma,o3 µg/m³,IT1906A,6366.0,36.52686145146089,22.80998701728004,2.0,17.0,36.0,54.0,123.0
2023,Roma,o3 µg/m³,IT2012A,6373.0,53.64114231915895,27.240691760375526,2.0,32.0,54.0,75.0,124.0
2023,Roma,o3 µg/m³,L.GO PERESTRELLO,7117.0,46.45405367430097,34.658812352506686,0.0,15.0,42.0,72.0,180.0
2023,Roma,o3 µg/m³,Malagrotta,7057.0,53.41575740399603,26.619915885236324,0.0,33.0,55.0,74.0,124.0
2023,Roma,o3 µg/m³,VILLA ADA,6815.0,43.76030814380044,36.90043583960835,0.0,9.0,38.0,71.0,180.0
2023,Roma,pm10 µg/m³,ARENULA,301.0,21.07308970099668,9.472133168154903,5.0,14.0,19.0,26.0,61.0
2023,Roma,pm10 µg/m³,BUFALOTTA,293.0,23.218430034129693,10.826151189668497,0.0,16.0,22.0,29.0,74.0
2023,Roma,pm10 µg/m³,C.SO FRANCIA,295.0,23.847457627118644,11.285734718670524,4.0,16.0,22.0,30.0,67.0
